hdl:1774.2/2086 levy:034.004
hdl:1774.2/2087 levy:075.177
hdl:1774.2/2088 levy:100.070
hdl:1774.2/2089 levy:035.062a
hdl:1774.2/2090 levy:158.226
hdl:1774.2/2091 levy:041.146
hdl:1774.2/2092 levy:154a.027
hdl:1774.2/2093 levy:054.025
hdl:1774.2/2094 levy:176.012
hdl:1774.2/2095 levy:032.121
hdl:1774.2/2096 levy:173.035
hdl:1774.2/2097 levy:037.025
hdl:1774.2/2098 levy:104.101
hdl:1774.2/2099 levy:105.021
hdl:1774.2/2100 levy:105.104
hdl:1774.2/2101 levy:013.017
hdl:1774.2/2102 levy:078.008
hdl:1774.2/2103 levy:177.035
hdl:1774.2/2104 levy:065.043
hdl:1774.2/2105 levy:059.003
hdl:1774.2/2106 levy:154a.087a
hdl:1774.2/2107 levy:189.191
hdl:1774.2/2108 levy:072.096
hdl:1774.2/2109 levy:106.218a
hdl:1774.2/2110 levy:076.095
hdl:1774.2/2111 levy:059.065
hdl:1774.2/2112 levy:087.041
hdl:1774.2/2113 levy:184.053
hdl:1774.2/2114 levy:080.051
hdl:1774.2/2115 levy:118.094
hdl:1774.2/2116 levy:171.080
hdl:1774.2/2117 levy:102.111
hdl:1774.2/2118 levy:158.039
hdl:1774.2/2119 levy:017.116
hdl:1774.2/2120 levy:122.086
hdl:1774.2/2121 levy:104.136
hdl:1774.2/2122 levy:154.059
hdl:1774.2/2123 levy:011.003
hdl:1774.2/2124 levy:006.028
hdl:1774.2/2125 levy:081.100
hdl:1774.2/2126 levy:096.249
hdl:1774.2/2127 levy:120.045
hdl:1774.2/2128 levy:149.028
hdl:1774.2/2129 levy:024.043
hdl:1774.2/2130 levy:136.045
hdl:1774.2/2131 levy:164.002
hdl:1774.2/2132 levy:065.089
hdl:1774.2/2133 levy:028.017
hdl:1774.2/2134 levy:185.048
hdl:1774.2/2135 levy:081.104
hdl:1774.2/2136 levy:082.121
hdl:1774.2/2137 levy:031.031
hdl:1774.2/2138 levy:144.115
hdl:1774.2/2139 levy:022.102
hdl:1774.2/2140 levy:050.064
hdl:1774.2/2141 levy:049.127
hdl:1774.2/2142 levy:138.070
hdl:1774.2/2143 levy:031.167b
hdl:1774.2/2144 levy:079.221
hdl:1774.2/2145 levy:003.019
hdl:1774.2/2146 levy:130.100
hdl:1774.2/2147 levy:040.019
hdl:1774.2/2148 levy:183.120
hdl:1774.2/2149 levy:068.076
hdl:1774.2/2150 levy:161.033
hdl:1774.2/2151 levy:092.030
hdl:1774.2/2152 levy:155.120
hdl:1774.2/2153 levy:096.079
hdl:1774.2/2154 levy:105.071
hdl:1774.2/2155 levy:023.032
hdl:1774.2/2156 levy:127.081
hdl:1774.2/2157 levy:155.039
hdl:1774.2/2158 levy:175.002
hdl:1774.2/2159 levy:102.058
hdl:1774.2/2160 levy:165.104
hdl:1774.2/2161 levy:020.184
hdl:1774.2/2162 levy:164.104
hdl:1774.2/2163 levy:157.119a
hdl:1774.2/2164 levy:191a.007
hdl:1774.2/2165 levy:076.131
hdl:1774.2/2166 levy:044.083
hdl:1774.2/2167 levy:148.174
hdl:1774.2/2168 levy:072.123
hdl:1774.2/2169 levy:054.034
hdl:1774.2/2170 levy:181.122
hdl:1774.2/2171 levy:022.077
hdl:1774.2/2172 levy:079.178
hdl:1774.2/2173 levy:191a.051
hdl:1774.2/2174 levy:041.014
hdl:1774.2/2175 levy:048.156
hdl:1774.2/2176 levy:173.065
hdl:1774.2/2177 levy:155.190
hdl:1774.2/2178 levy:184.111
hdl:1774.2/2179 levy:114.064
hdl:1774.2/2180 levy:111.156
hdl:1774.2/2181 levy:116.075
hdl:1774.2/2182 levy:063.119
hdl:1774.2/2183 levy:115.032
hdl:1774.2/2184 levy:112.055
hdl:1774.2/2185 levy:121.014
hdl:1774.2/2186 levy:092.089
hdl:1774.2/2187 levy:064.041
hdl:1774.2/2188 levy:024.074
hdl:1774.2/2189 levy:122.009
hdl:1774.2/2190 levy:191.014
hdl:1774.2/2191 levy:048.030
hdl:1774.2/2192 levy:138.126
hdl:1774.2/2193 levy:092.106
hdl:1774.2/2194 levy:186.056
hdl:1774.2/2195 levy:007.065
hdl:1774.2/2196 levy:046.071
hdl:1774.2/2197 levy:178.002
hdl:1774.2/2198 levy:175.021
hdl:1774.2/2199 levy:060.034
hdl:1774.2/2200 levy:062.061
hdl:1774.2/2201 levy:031.106
hdl:1774.2/2202 levy:017.030
hdl:1774.2/2203 levy:013.064
hdl:1774.2/2204 levy:140.015
hdl:1774.2/2205 levy:141.032
hdl:1774.2/2206 levy:175.138
hdl:1774.2/2207 levy:026.068
hdl:1774.2/2208 levy:158.142a
hdl:1774.2/2209 levy:026.001a
hdl:1774.2/2210 levy:168.048
hdl:1774.2/2211 levy:087.052
hdl:1774.2/2212 levy:081.010a
hdl:1774.2/2213 levy:176.115
hdl:1774.2/2214 levy:001.043
hdl:1774.2/2215 levy:157.012
hdl:1774.2/2216 levy:082.113
hdl:1774.2/2217 levy:079.159
hdl:1774.2/2218 levy:191.138a
hdl:1774.2/2219 levy:094.003
hdl:1774.2/2220 levy:122.060
hdl:1774.2/2221 levy:035.030a
hdl:1774.2/2222 levy:080.155
hdl:1774.2/2223 levy:185.098
hdl:1774.2/2224 levy:181.118
hdl:1774.2/2225 levy:185.080
hdl:1774.2/2226 levy:159.082
hdl:1774.2/2227 levy:006.074
hdl:1774.2/2228 levy:092.015
hdl:1774.2/2229 levy:094.055
hdl:1774.2/2230 levy:143.078
hdl:1774.2/2231 levy:189.073
hdl:1774.2/2232 levy:086.046
hdl:1774.2/2233 levy:101.056
hdl:1774.2/2234 levy:091.072
hdl:1774.2/2235 levy:097.181
hdl:1774.2/2236 levy:011.027
hdl:1774.2/2237 levy:130.030
hdl:1774.2/2238 levy:154a.125
hdl:1774.2/2239 levy:155.184b
hdl:1774.2/2240 levy:010.013
hdl:1774.2/2241 levy:154a.019
hdl:1774.2/2242 levy:024.026
hdl:1774.2/2243 levy:143.043
hdl:1774.2/2244 levy:062.074
hdl:1774.2/2245 levy:092.093
hdl:1774.2/2246 levy:106.041
hdl:1774.2/2247 levy:124.049
hdl:1774.2/2248 levy:154.127
hdl:1774.2/2249 levy:086.019
hdl:1774.2/2250 levy:153.159
hdl:1774.2/2251 levy:022.002
hdl:1774.2/2252 levy:061.015
hdl:1774.2/2253 levy:102.035
hdl:1774.2/2254 levy:062.080
hdl:1774.2/2255 levy:102.124
hdl:1774.2/2256 levy:099.011
hdl:1774.2/2257 levy:043.089
hdl:1774.2/2258 levy:081.130
hdl:1774.2/2259 levy:155.039b
hdl:1774.2/2260 levy:093.100
hdl:1774.2/2261 levy:043.001
hdl:1774.2/2262 levy:185.020
hdl:1774.2/2263 levy:172.113
hdl:1774.2/2264 levy:164.006
hdl:1774.2/2265 levy:193.229b
hdl:1774.2/2266 levy:088.023
hdl:1774.2/2267 levy:161.009
hdl:1774.2/2268 levy:047.057
hdl:1774.2/2269 levy:152.205
hdl:1774.2/2270 levy:110.021
hdl:1774.2/2271 levy:061.107
hdl:1774.2/2272 levy:096.107
hdl:1774.2/2273 levy:132.083
hdl:1774.2/2274 levy:169.016
hdl:1774.2/2275 levy:111.139
hdl:1774.2/2276 levy:093.093
hdl:1774.2/2277 levy:007.011
hdl:1774.2/2278 levy:153.051
hdl:1774.2/2279 levy:024.096
hdl:1774.2/2280 levy:193.016
hdl:1774.2/2281 levy:094.173
hdl:1774.2/2282 levy:162.082
hdl:1774.2/2283 levy:192.051
hdl:1774.2/2284 levy:191a.207
hdl:1774.2/2285 levy:062.042
hdl:1774.2/2286 levy:059.006
hdl:1774.2/2287 levy:192.020
hdl:1774.2/2288 levy:042.069c
hdl:1774.2/2289 levy:193.272
hdl:1774.2/2290 levy:105.067
hdl:1774.2/2291 levy:190.072
hdl:1774.2/2292 levy:106.241
hdl:1774.2/2293 levy:109.025
hdl:1774.2/2294 levy:147.081
hdl:1774.2/2295 levy:191a.067a
hdl:1774.2/2296 levy:003.151
hdl:1774.2/2297 levy:169.080
hdl:1774.2/2298 levy:034.072
hdl:1774.2/2299 levy:102.019
hdl:1774.2/2300 levy:023.001
hdl:1774.2/2301 levy:191b.074
hdl:1774.2/2302 levy:093.123
hdl:1774.2/2303 levy:064.039
hdl:1774.2/2304 levy:114.020
hdl:1774.2/2305 levy:095.046
hdl:1774.2/2306 levy:109.070
hdl:1774.2/2307 levy:190.077
hdl:1774.2/2308 levy:136.010
hdl:1774.2/2309 levy:006.065
hdl:1774.2/2310 levy:111.076
hdl:1774.2/2311 levy:058.075
hdl:1774.2/2312 levy:084.061
hdl:1774.2/2313 levy:052.002
hdl:1774.2/2314 levy:098.084
hdl:1774.2/2315 levy:043.100a
hdl:1774.2/2316 levy:109.153
hdl:1774.2/2317 levy:187.093
hdl:1774.2/2318 levy:106.049
hdl:1774.2/2319 levy:056.047
hdl:1774.2/2320 levy:120.074
hdl:1774.2/2321 levy:115.180
hdl:1774.2/2322 levy:191a.048
hdl:1774.2/2323 levy:117.117
hdl:1774.2/2324 levy:024.091
hdl:1774.2/2325 levy:121.069
hdl:1774.2/2326 levy:074.162
hdl:1774.2/2327 levy:038.091
hdl:1774.2/2328 levy:165.099
hdl:1774.2/2329 levy:007.055
hdl:1774.2/2330 levy:034.093
hdl:1774.2/2331 levy:150.061
hdl:1774.2/2332 levy:034.067
hdl:1774.2/2333 levy:154a.183
hdl:1774.2/2334 levy:096.055
hdl:1774.2/2335 levy:082.097
hdl:1774.2/2336 levy:172.105
hdl:1774.2/2337 levy:072.028
